id,stacnotator_label_name
0,Non-cropland
1,Non-cropland
2,Non-cropland
3,Non-cropland
4,Non-cropland
5,Cropland
6,Cropland
7,Cropland
8,Non-cropland
9,Cropland
10,Cropland
11,Cropland
12,Non-cropland
13,Cropland
14,Cropland
15,Non-cropland
16,Cropland
17,Cropland
18,Cropland
19,Cropland
20,Non-cropland
21,Non-cropland
22,Cropland
23,Non-cropland
24,Non-cropland
25,Cropland
26,Non-cropland
27,Non-cropland
28,Cropland
29,Non-cropland
30,Non-cropland
31,Cropland
32,Non-cropland
33,Non-cropland
34,Cropland
35,Cropland
36,Cropland
37,Non-cropland
38,Non-cropland
39,Non-cropland
40,Non-cropland
41,Cropland
42,Cropland
43,Cropland
44,Cropland
45,Cropland
46,Non-cropland
47,Cropland
48,Non-cropland
49,Non-cropland
50,Cropland
51,Non-cropland
52,Cropland
53,Non-cropland
54,Non-cropland
55,Non-cropland
56,Cropland
57,Non-cropland
58,Cropland
59,Cropland
60,Non-cropland
61,Non-cropland
62,Cropland
63,Non-cropland
64,Non-cropland
65,Cropland
66,Non-cropland
67,Cropland
68,Cropland
69,Non-cropland
70,Non-cropland
71,Cropland
72,Non-cropland
73,Cropland
74,Cropland
75,Non-cropland
76,Cropland
77,Non-cropland
78,Cropland
79,Non-cropland
80,Cropland
81,Cropland
82,Cropland
83,Cropland
84,Non-cropland
85,Non-cropland
86,Non-cropland
87,Non-cropland
88,Cropland
89,Cropland
90,Non-cropland
91,Cropland
92,Non-cropland
93,Non-cropland
94,Cropland
95,Cropland
96,Non-cropland
97,Non-cropland
98,Cropland
99,Non-cropland
100,Non-cropland
101,Non-cropland
102,Cropland
103,Cropland
104,Cropland
105,Cropland
106,Cropland
107,Non-cropland
108,Non-cropland
109,Cropland
110,Non-cropland
111,Cropland
112,Cropland
113,Cropland
114,Non-cropland
115,Non-cropland
116,Non-cropland
117,Non-cropland
118,Cropland
119,Cropland
120,Cropland
121,Cropland
122,Non-cropland
123,Cropland
124,Non-cropland
125,Cropland
126,Cropland
127,Cropland
128,Non-cropland
129,Cropland
130,Cropland
131,Cropland
132,Cropland
133,Cropland
134,Cropland
135,Non-cropland
136,Non-cropland
137,Cropland
138,Non-cropland
139,Non-cropland
140,Cropland
141,Cropland
142,Non-cropland
143,Non-cropland
144,Cropland
145,Cropland
146,Cropland
147,Non-cropland
148,Cropland
149,Cropland
150,Cropland
151,Non-cropland
152,Non-cropland
153,Non-cropland
154,Non-cropland
155,Non-cropland
156,Non-cropland
157,Non-cropland
158,Cropland
159,Non-cropland
160,Non-cropland
161,Cropland
162,Non-cropland
163,Non-cropland
164,Cropland
165,Cropland
166,Non-cropland
167,Cropland
168,Non-cropland
169,Non-cropland
170,Non-cropland
171,Cropland
172,Cropland
173,Non-cropland
174,Cropland
175,Cropland
176,Cropland
177,Non-cropland
178,Non-cropland
179,Cropland
180,Cropland
181,Non-cropland
182,Cropland
183,Non-cropland
184,Non-cropland
185,Cropland
186,Non-cropland
187,Cropland
188,Cropland
189,Non-cropland
190,Cropland
191,Cropland
192,Cropland
193,Non-cropland
194,Cropland
195,Non-cropland
196,Cropland
197,Cropland
198,Non-cropland
199,Cropland
200,Cropland
201,Cropland
202,Non-cropland
203,Non-cropland
204,Non-cropland
205,Non-cropland
206,Non-cropland
207,Non-cropland
208,Non-cropland
209,Cropland
210,Non-cropland
211,Non-cropland
212,Cropland
213,Non-cropland
214,Non-cropland
215,Non-cropland
216,Cropland
217,Cropland
218,Cropland
219,Non-cropland
220,Cropland
221,Non-cropland
222,Cropland
223,Non-cropland
224,Cropland
225,Non-cropland
226,Cropland
227,Non-cropland
228,Cropland
229,Cropland
230,Non-cropland
231,Non-cropland
232,Non-cropland
233,Non-cropland
234,Non-cropland
235,Cropland
236,Non-cropland
237,Cropland
238,Non-cropland
239,Cropland
240,Non-cropland
241,Cropland
242,Non-cropland
243,Cropland
244,Cropland
245,Non-cropland
246,Non-cropland
247,Cropland
248,Non-cropland
249,Cropland
250,Non-cropland
251,Non-cropland
252,Non-cropland
253,Cropland
254,Cropland
255,Non-cropland
256,Cropland
257,Cropland
258,Non-cropland
259,Cropland
260,Cropland
261,Cropland
262,Cropland
263,Non-cropland
264,Cropland
265,Cropland
266,Non-cropland
267,Non-cropland
268,Cropland
269,Non-cropland
270,Non-cropland
271,Non-cropland
272,Cropland
273,Non-cropland
274,Non-cropland
275,Non-cropland
276,Non-cropland
277,Non-cropland
278,Non-cropland
279,Cropland
280,Cropland
281,Cropland
282,Cropland
283,Cropland
284,Non-cropland
285,Cropland
286,Cropland
287,Non-cropland
288,Non-cropland
289,Non-cropland
290,Non-cropland
291,Cropland
292,Cropland
293,Cropland
294,Non-cropland
295,Cropland
296,Cropland
297,Non-cropland
298,Non-cropland
299,Non-cropland
300,Non-cropland
301,Non-cropland
302,Non-cropland
303,Non-cropland
304,Cropland
305,Non-cropland
306,Cropland
307,Non-cropland
308,Cropland
309,Cropland
310,Non-cropland
311,Cropland
312,Cropland
313,Cropland
314,Non-cropland
315,Non-cropland
316,Non-cropland
317,Cropland
318,Cropland
319,Non-cropland
320,Cropland
321,Non-cropland
322,Non-cropland
323,Cropland
324,Cropland
325,Non-cropland
326,Non-cropland
327,Cropland
328,Non-cropland
329,Non-cropland
330,Non-cropland
331,Non-cropland
332,Non-cropland
333,Non-cropland
334,Non-cropland
335,Non-cropland
336,Cropland
337,Cropland
338,Cropland
339,Cropland
340,Non-cropland
341,Cropland
342,Non-cropland
343,Non-cropland
344,Non-cropland
345,Non-cropland
346,Non-cropland
347,Cropland
348,Cropland
349,Non-cropland
350,Cropland
351,Cropland
352,Cropland
353,Non-cropland
354,Cropland
355,Cropland
356,Non-cropland
357,Cropland
358,Cropland
359,Non-cropland
360,Cropland
361,Non-cropland
362,Cropland
363,Cropland
364,Cropland
365,Cropland
366,Cropland
367,Non-cropland
368,Non-cropland
369,Non-cropland
370,Cropland
371,Non-cropland
372,Cropland
373,Cropland
374,Non-cropland
375,Non-cropland
376,Non-cropland
377,Cropland
378,Cropland
379,Non-cropland
380,Cropland
381,Non-cropland
382,Cropland
383,Non-cropland
384,Non-cropland
385,Cropland
386,Cropland
387,Cropland
388,Non-cropland
389,Non-cropland
390,Non-cropland
391,Non-cropland
392,Non-cropland
393,Cropland
394,Non-cropland
395,Cropland
396,Cropland
397,Non-cropland
398,Non-cropland
399,Non-cropland
400,Non-cropland
401,Cropland
402,Cropland
403,Cropland
404,Non-cropland
405,Non-cropland
406,Cropland
407,Non-cropland
408,Non-cropland
409,Cropland
410,Non-cropland
411,Cropland
412,Cropland
413,Non-cropland
414,Cropland
415,Non-cropland
416,Cropland
417,Cropland
418,Non-cropland
419,Non-cropland
420,Cropland
421,Non-cropland
422,Non-cropland
423,Cropland
424,Cropland
425,Non-cropland
426,Cropland
427,Non-cropland
428,Cropland
429,Cropland
430,Non-cropland
431,Non-cropland
432,Non-cropland
433,Non-cropland
434,Non-cropland
435,Non-cropland
436,Cropland
437,Cropland
438,Cropland
439,Non-cropland
440,Cropland
441,Cropland
442,Cropland
443,Non-cropland
444,Non-cropland
445,Non-cropland
446,Cropland
447,Non-cropland
448,Cropland
449,Cropland
450,Cropland
451,Non-cropland
452,Cropland
453,Non-cropland
454,Non-cropland
455,Cropland
456,Non-cropland
457,Cropland
458,Cropland
459,Non-cropland
460,Non-cropland
461,Cropland
462,Non-cropland
463,Non-cropland
464,Non-cropland
465,Cropland
466,Cropland
467,Cropland
468,Non-cropland
469,Cropland
470,Cropland
471,Cropland
472,Cropland
473,Non-cropland
474,Cropland
475,Cropland
476,Non-cropland
477,Cropland
478,Cropland
479,Non-cropland
480,Non-cropland
481,Non-cropland
482,Cropland
483,Cropland
484,Cropland
485,Non-cropland
486,Cropland
487,Non-cropland
488,Non-cropland
489,Cropland
490,Non-cropland
491,Non-cropland
492,Non-cropland
493,Cropland
494,Cropland
495,Cropland
496,Cropland
497,Cropland
498,Cropland
499,Non-cropland
500,Non-cropland
501,Non-cropland
502,Cropland
503,Cropland
504,Non-cropland
505,Cropland
506,Non-cropland
507,Non-cropland
508,Cropland
509,Cropland
510,Cropland
511,Non-cropland
512,Cropland
513,Cropland
514,Cropland
515,Cropland
516,Cropland
517,Non-cropland
518,Non-cropland
519,Non-cropland
520,Cropland
521,Non-cropland
522,Non-cropland
523,Cropland
524,Non-cropland
525,Cropland
526,Cropland
527,Non-cropland
528,Cropland
529,Cropland
530,Cropland
531,Cropland
532,Cropland
533,Cropland
534,Non-cropland
535,Non-cropland
536,Non-cropland
537,Cropland
538,Non-cropland
539,Cropland
540,Non-cropland
541,Non-cropland
542,Non-cropland
543,Non-cropland
544,Cropland
545,Cropland
546,Cropland
547,Cropland
548,Cropland
549,Non-cropland
550,Non-cropland
551,Cropland
552,Non-cropland
553,Cropland
554,Non-cropland
555,Non-cropland
556,Non-cropland
557,Non-cropland
558,Cropland
559,Cropland
560,Non-cropland
561,Non-cropland
562,Cropland
563,Cropland
564,Non-cropland
565,Non-cropland
566,Non-cropland
567,Non-cropland
568,Cropland
569,Cropland
570,Cropland
571,Non-cropland
572,Non-cropland
573,Cropland
574,Cropland
575,Cropland
