id,stratum,county,stacnotator_label_name
0,0,muranga,0
1,0,bungoma,0
2,0,bungoma,0
3,0,muranga,0
4,1,bungoma,0
5,1,bungoma,1
6,1,bungoma,1
7,1,muranga,1
8,1,muranga,0
9,1,muranga,1
10,1,muranga,1
11,1,muranga,1
12,0,bungoma,0
13,1,bungoma,1
14,1,muranga,1
15,0,muranga,0
16,1,bungoma,1
17,0,muranga,1
18,1,bungoma,1
19,1,bungoma,1
20,0,muranga,0
21,0,muranga,0
22,1,bungoma,1
23,0,muranga,0
24,0,muranga,0
25,1,bungoma,1
26,0,muranga,0
27,1,muranga,0
28,1,muranga,1
29,0,bungoma,0
30,0,bungoma,0
31,1,bungoma,1
32,0,bungoma,0
33,0,muranga,0
34,1,bungoma,1
35,1,bungoma,1
36,0,bungoma,1
37,0,bungoma,0
38,0,bungoma,0
39,0,muranga,0
40,0,bungoma,0
41,1,bungoma,1
42,1,muranga,1
43,1,muranga,1
44,1,muranga,1
45,1,muranga,1
46,0,muranga,0
47,1,bungoma,1
48,0,bungoma,0
49,1,bungoma,0
50,1,bungoma,1
51,1,bungoma,0
52,1,muranga,1
53,0,bungoma,0
54,0,muranga,0
55,0,muranga,0
56,1,bungoma,1
57,0,muranga,0
58,0,muranga,1
59,0,bungoma,1
60,0,muranga,0
61,0,muranga,0
62,1,bungoma,1
63,0,bungoma,0
64,0,muranga,0
65,1,bungoma,1
66,0,muranga,0
67,1,muranga,1
68,0,muranga,1
69,0,muranga,0
70,0,bungoma,0
71,1,bungoma,1
72,0,bungoma,0
73,1,muranga,1
74,0,bungoma,1
75,0,bungoma,0
76,1,bungoma,1
77,0,muranga,0
78,1,bungoma,1
79,0,muranga,0
80,1,bungoma,1
81,1,muranga,1
82,1,muranga,1
83,1,bungoma,1
84,1,bungoma,0
85,1,muranga,0
86,0,bungoma,0
87,0,bungoma,0
88,1,muranga,1
89,1,bungoma,1
90,0,muranga,0
91,1,bungoma,1
92,0,muranga,0
93,0,bungoma,0
94,1,muranga,1
95,1,muranga,1
96,0,muranga,0
97,1,muranga,0
98,0,muranga,1
99,0,muranga,0
100,0,bungoma,0
101,0,bungoma,0
102,1,muranga,1
103,1,bungoma,1
104,1,bungoma,1
105,1,muranga,1
106,1,bungoma,1
107,0,muranga,0
108,1,muranga,0
109,1,muranga,1
110,0,muranga,0
111,1,bungoma,1
112,1,muranga,1
113,1,bungoma,1
114,0,muranga,0
115,0,bungoma,0
116,0,bungoma,0
117,0,bungoma,0
118,1,muranga,1
119,1,muranga,1
120,1,muranga,1
121,1,muranga,1
122,1,muranga,0
123,1,muranga,1
124,1,muranga,0
125,1,muranga,1
126,1,muranga,1
127,0,bungoma,1
128,1,bungoma,0
129,1,bungoma,1
130,1,bungoma,1
131,1,muranga,1
132,1,bungoma,1
133,1,bungoma,1
134,1,bungoma,1
135,1,bungoma,0
136,0,muranga,0
137,1,muranga,1
138,0,muranga,0
139,1,muranga,0
140,1,bungoma,1
141,1,muranga,1
142,0,bungoma,0
143,0,bungoma,0
144,1,bungoma,1
145,1,muranga,1
146,1,muranga,1
147,0,bungoma,0
148,1,bungoma,1
149,0,bungoma,1
150,1,muranga,1
151,0,muranga,0
152,1,muranga,0
153,0,bungoma,0
154,1,muranga,0
155,0,bungoma,0
156,0,muranga,0
157,0,muranga,0
158,1,bungoma,1
159,0,bungoma,0
160,1,bungoma,0
161,1,muranga,1
162,0,muranga,0
163,1,muranga,0
164,1,muranga,1
165,1,bungoma,1
166,0,muranga,0
167,1,bungoma,1
168,0,muranga,0
169,0,muranga,0
170,0,bungoma,0
171,1,bungoma,1
172,1,bungoma,1
