id,stratum,county,stacnotator_label_name
1,0,bungoma,0
2,0,bungoma,0
4,1,bungoma,0
5,1,bungoma,1
6,1,bungoma,1
12,0,bungoma,0
13,1,bungoma,1
16,1,bungoma,1
18,1,bungoma,1
19,1,bungoma,1
22,1,bungoma,1
25,1,bungoma,1
29,0,bungoma,0
30,0,bungoma,0
31,1,bungoma,1
32,0,bungoma,0
34,1,bungoma,1
35,1,bungoma,1
36,0,bungoma,1
37,0,bungoma,0
38,0,bungoma,0
40,0,bungoma,0
41,1,bungoma,1
47,1,bungoma,1
48,0,bungoma,0
49,1,bungoma,0
50,1,bungoma,1
51,1,bungoma,0
53,0,bungoma,0
56,1,bungoma,1
59,0,bungoma,1
62,1,bungoma,1
63,0,bungoma,0
65,1,bungoma,1
70,0,bungoma,0
71,1,bungoma,1
72,0,bungoma,0
74,0,bungoma,1
75,0,bungoma,0
76,1,bungoma,1
78,1,bungoma,1
80,1,bungoma,1
83,1,bungoma,1
84,1,bungoma,0
86,0,bungoma,0
87,0,bungoma,0
89,1,bungoma,1
91,1,bungoma,1
93,0,bungoma,0
100,0,bungoma,0
101,0,bungoma,0
103,1,bungoma,1
104,1,bungoma,1
106,1,bungoma,1
111,1,bungoma,1
113,1,bungoma,1
115,0,bungoma,0
116,0,bungoma,0
117,0,bungoma,0
127,0,bungoma,1
128,1,bungoma,0
129,1,bungoma,1
130,1,bungoma,1
132,1,bungoma,1
133,1,bungoma,1
134,1,bungoma,1
135,1,bungoma,0
140,1,bungoma,1
142,0,bungoma,0
143,0,bungoma,0
144,1,bungoma,1
147,0,bungoma,0
148,1,bungoma,1
149,0,bungoma,1
153,0,bungoma,0
155,0,bungoma,0
158,1,bungoma,1
159,0,bungoma,0
160,1,bungoma,0
165,1,bungoma,1
167,1,bungoma,1
170,0,bungoma,0
171,1,bungoma,1
172,1,bungoma,1
173,0,bungoma,0
174,1,bungoma,1
179,1,bungoma,1
180,1,bungoma,1
182,1,bungoma,1
183,0,bungoma,0
184,0,bungoma,0
187,0,bungoma,1
189,0,bungoma,0
191,1,bungoma,1
194,1,bungoma,1
197,1,bungoma,1
198,0,bungoma,0
200,1,bungoma,1
202,0,bungoma,0
209,1,bungoma,1
210,0,bungoma,0
211,0,bungoma,0
212,1,bungoma,1
214,0,bungoma,0
217,0,bungoma,1
218,1,bungoma,1
219,0,bungoma,0
223,0,bungoma,0
224,1,bungoma,1
226,0,bungoma,1
228,1,bungoma,1
230,1,bungoma,0
232,0,bungoma,0
235,1,bungoma,1
239,0,bungoma,1
240,0,bungoma,0
241,1,bungoma,1
242,0,bungoma,0
243,1,bungoma,1
244,1,bungoma,1
245,0,bungoma,0
247,1,bungoma,1
253,1,bungoma,1
254,1,bungoma,1
256,1,bungoma,1
260,0,bungoma,1
261,1,bungoma,1
262,1,bungoma,1
263,1,bungoma,0
266,0,bungoma,0
267,0,bungoma,0
268,0,bungoma,1
269,1,bungoma,0
270,1,bungoma,0
271,0,bungoma,0
272,0,bungoma,1
275,0,bungoma,0
276,0,bungoma,0
278,0,bungoma,0
279,1,bungoma,1
280,0,bungoma,1
284,0,bungoma,0
285,1,bungoma,1
286,0,bungoma,1
287,0,bungoma,0
288,0,bungoma,0
291,0,bungoma,1
295,1,bungoma,1
297,0,bungoma,0
298,0,bungoma,0
300,0,bungoma,0
302,0,bungoma,0
305,0,bungoma,0
306,1,bungoma,1
307,0,bungoma,0
308,1,bungoma,1
311,1,bungoma,1
314,0,bungoma,0
315,0,bungoma,0
320,1,bungoma,1
321,0,bungoma,0
322,0,bungoma,0
323,1,bungoma,1
325,0,bungoma,0
326,0,bungoma,0
327,1,bungoma,1
330,0,bungoma,0
332,0,bungoma,0
333,0,bungoma,0
337,1,bungoma,1
339,1,bungoma,1
341,1,bungoma,1
342,0,bungoma,0
343,0,bungoma,0
344,0,bungoma,0
345,0,bungoma,0
349,1,bungoma,0
350,1,bungoma,1
351,1,bungoma,1
352,1,bungoma,1
353,0,bungoma,0
354,1,bungoma,1
355,1,bungoma,1
357,1,bungoma,1
359,0,bungoma,0
362,0,bungoma,1
363,0,bungoma,1
364,1,bungoma,1
369,0,bungoma,0
370,1,bungoma,1
373,1,bungoma,1
377,1,bungoma,1
380,1,bungoma,1
382,1,bungoma,1
387,1,bungoma,1
388,1,bungoma,0
391,1,bungoma,0
392,0,bungoma,0
393,1,bungoma,1
395,1,bungoma,1
399,0,bungoma,0
401,1,bungoma,1
402,1,bungoma,1
404,0,bungoma,0
405,0,bungoma,0
406,1,bungoma,1
407,0,bungoma,0
409,1,bungoma,1
412,0,bungoma,1
413,0,bungoma,0
415,0,bungoma,0
417,1,bungoma,1
418,0,bungoma,0
421,1,bungoma,0
422,1,bungoma,0
423,0,bungoma,1
424,1,bungoma,1
425,0,bungoma,0
426,1,bungoma,1
429,1,bungoma,1
437,1,bungoma,1
438,1,bungoma,1
440,1,bungoma,1
441,1,bungoma,1
446,1,bungoma,1
449,1,bungoma,1
451,0,bungoma,0
452,1,bungoma,1
453,0,bungoma,0
456,0,bungoma,0
457,1,bungoma,1
462,0,bungoma,0
465,1,bungoma,1
467,1,bungoma,1
468,1,bungoma,0
470,1,bungoma,1
472,0,bungoma,1
474,1,bungoma,1
475,1,bungoma,1
477,1,bungoma,1
478,1,bungoma,1
485,0,bungoma,0
486,1,bungoma,1
489,1,bungoma,1
490,0,bungoma,0
491,0,bungoma,0
493,1,bungoma,1
494,1,bungoma,1
498,1,bungoma,1
499,0,bungoma,0
500,0,bungoma,0
503,1,bungoma,1
504,0,bungoma,0
507,0,bungoma,0
509,0,bungoma,1
510,0,bungoma,1
512,0,bungoma,1
513,1,bungoma,1
517,0,bungoma,0
518,1,bungoma,0
519,0,bungoma,0
522,0,bungoma,0
524,1,bungoma,0
525,1,bungoma,1
526,1,bungoma,1
529,1,bungoma,1
534,1,bungoma,0
536,0,bungoma,0
537,1,bungoma,1
539,1,bungoma,1
547,0,bungoma,1
549,0,bungoma,0
551,1,bungoma,1
552,0,bungoma,0
553,1,bungoma,1
555,0,bungoma,0
559,1,bungoma,1
560,1,bungoma,0
563,1,bungoma,1
565,0,bungoma,0
567,1,bungoma,0
568,1,bungoma,1
569,1,bungoma,1
571,0,bungoma,0
573,1,bungoma,1
574,1,bungoma,1
575,1,bungoma,1
577,1,bungoma,1
578,0,bungoma,0
579,1,bungoma,1
580,1,bungoma,1
581,1,bungoma,1
584,1,bungoma,1
586,0,bungoma,0
587,1,bungoma,1
589,1,bungoma,0
591,1,bungoma,1
593,1,bungoma,1
594,1,bungoma,0
596,0,bungoma,0
598,1,bungoma,1
599,1,bungoma,1
602,1,bungoma,1
603,1,bungoma,1
605,1,bungoma,1
608,0,bungoma,0
609,1,bungoma,1
611,0,bungoma,0
613,1,bungoma,1
614,0,bungoma,0
616,0,bungoma,0
617,1,bungoma,1
618,1,bungoma,0
619,0,bungoma,1
620,1,bungoma,1
621,1,bungoma,1
625,0,bungoma,0
627,0,bungoma,1
628,1,bungoma,1
629,1,bungoma,1
634,0,bungoma,1
635,1,bungoma,0
639,1,bungoma,1
640,1,bungoma,1
642,1,bungoma,0
650,1,bungoma,1
651,1,bungoma,1
654,0,bungoma,0
659,1,bungoma,1
663,1,bungoma,0
665,1,bungoma,1
666,1,bungoma,1
670,1,bungoma,0
673,0,bungoma,0
675,1,bungoma,1
677,0,bungoma,0
678,0,bungoma,1
680,1,bungoma,0
682,1,bungoma,0
686,0,bungoma,0
688,1,bungoma,1
693,0,bungoma,0
694,0,bungoma,0
695,0,bungoma,0
697,1,bungoma,1
698,1,bungoma,1
699,1,bungoma,1
702,0,bungoma,0
703,0,bungoma,0
705,0,bungoma,0
710,0,bungoma,0
711,1,bungoma,1
712,1,bungoma,1
715,0,bungoma,0
716,0,bungoma,0
717,1,bungoma,0
718,1,bungoma,1
719,0,bungoma,0
721,1,bungoma,1
722,1,bungoma,0
724,0,bungoma,1
725,1,bungoma,0
726,0,bungoma,0
727,1,bungoma,0
731,1,bungoma,0
734,0,bungoma,1
735,1,bungoma,1
736,0,bungoma,0
737,0,bungoma,0
739,1,bungoma,1
740,1,bungoma,0
741,1,bungoma,0
742,0,bungoma,0
744,1,bungoma,1
745,1,bungoma,1
746,1,bungoma,1
747,1,bungoma,1
751,1,bungoma,1
753,0,bungoma,0
758,1,bungoma,0
761,0,bungoma,0
763,1,bungoma,0
765,1,bungoma,0
766,1,bungoma,1
767,0,bungoma,1
768,0,bungoma,1
769,1,bungoma,1
770,0,bungoma,0
779,1,bungoma,1
781,0,bungoma,0
782,1,bungoma,1
783,1,bungoma,1
784,1,bungoma,1
786,1,bungoma,1
787,0,bungoma,0
788,1,bungoma,1
789,0,bungoma,0
793,0,bungoma,1
794,1,bungoma,0
795,1,bungoma,1
